"Step","Nov 27 15:58 Cnnlstm BALD MC-Dropout INIT20% AL - valid_auroc(epoch)","Nov 27 15:58 Cnnlstm BALD MC-Dropout INIT20% AL - valid_auroc(epoch)__MIN","Nov 27 15:58 Cnnlstm BALD MC-Dropout INIT20% AL - valid_auroc(epoch)__MAX","Nov 27 11:18 Cnnlstm MARGIN Single INIT20% AL - valid_auroc(epoch)","Nov 27 11:18 Cnnlstm MARGIN Single INIT20% AL - valid_auroc(epoch)__MIN","Nov 27 11:18 Cnnlstm MARGIN Single INIT20% AL - valid_auroc(epoch)__MAX","Nov 27 10:47 Cnnlstm LC Single INIT20% AL - valid_auroc(epoch)","Nov 27 10:47 Cnnlstm LC Single INIT20% AL - valid_auroc(epoch)__MIN","Nov 27 10:47 Cnnlstm LC Single INIT20% AL - valid_auroc(epoch)__MAX","Nov 27 01:19 Cnnlstm RANDOM Single INIT20% AL - valid_auroc(epoch)","Nov 27 01:19 Cnnlstm RANDOM Single INIT20% AL - valid_auroc(epoch)__MIN","Nov 27 01:19 Cnnlstm RANDOM Single INIT20% AL - valid_auroc(epoch)__MAX"
"0","0.5357425054355913","0.5357425054355913","0.5357425054355913","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537"
"1","0.6153095269656188","0.6153095269656188","0.6153095269656188","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544"
"2","0.6476758002135007","0.6476758002135007","0.6476758002135007","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766"
"3","0.6590482050316139","0.6590482050316139","0.6590482050316139","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971"
"4","0.7046853650071778","0.7046853650071778","0.7046853650071778","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457"
"5","0.7690697317422055","0.7690697317422055","0.7690697317422055","0.7272600760340627","0.7272600760340627","0.7272600760340627","0.7369782529583361","0.7369782529583361","0.7369782529583361","0.7415371158234918","0.7415371158234918","0.7415371158234918"
"6","0.7885232392125611","0.7885232392125611","0.7885232392125611","0.7701231206568152","0.7701231206568152","0.7701231206568152","0.7805318034275176","0.7805318034275176","0.7805318034275176","0.7633232158774738","0.7633232158774738","0.7633232158774738"
"7","0.804141126798271","0.804141126798271","0.804141126798271","0.7858235463682791","0.7858235463682791","0.7858235463682791","0.8004820442011797","0.8004820442011797","0.8004820442011797","0.7753083435449223","0.7753083435449223","0.7753083435449223"
"8","0.8163064738245667","0.8163064738245667","0.8163064738245667","0.7821599522950778","0.7821599522950778","0.7821599522950778","0.8160999485404106","0.8160999485404106","0.8160999485404106","0.7868165904521461","0.7868165904521461","0.7868165904521461"
"9","0.8252083304481133","0.8252083304481133","0.8252083304481133","0.8022268891003413","0.8022268891003413","0.8022268891003413","0.8261723788981773","0.8261723788981773","0.8261723788981773","0.7791535991055726","0.7791535991055726","0.7791535991055726"
"10","0.8322165019465696","0.8322165019465696","0.8322165019465696","0.8057036457208309","0.8057036457208309","0.8057036457208309","0.8340296280818277","0.8340296280818277","0.8340296280818277","0.8253091749065113","0.8253091749065113","0.8253091749065113"
"11","0.8093341335504459","0.8093341335504459","0.8093341335504459","0.8197549673011468","0.8197549673011468","0.8197549673011468","0.8410144092643513","0.8410144092643513","0.8410144092643513","0.8285206570877895","0.8285206570877895","0.8285206570877895"
"12","0.835431042299616","0.835431042299616","0.835431042299616","0.8150576280316598","0.8150576280316598","0.8150576280316598","0.8386298922331457","0.8386298922331457","0.8386298922331457","0.8182300962459599","0.8182300962459599","0.8182300962459599"
"13","0.8418425819703695","0.8418425819703695","0.8418425819703695","0.8229637031941396","0.8229637031941396","0.8229637031941396","0.8090920332279014","0.8090920332279014","0.8090920332279014","0.8181896029815329","0.8181896029815329","0.8181896029815329"
"14","0.8411726053953464","0.8411726053953464","0.8411726053953464","0.7991273687497243","0.7991273687497243","0.7991273687497243","0.82832340257906","0.82832340257906","0.82832340257906","0.8376213568831142","0.8376213568831142","0.8376213568831142"
"15","0.8410744673475663","0.8410744673475663","0.8410744673475663","0.8162346603866707","0.8162346603866707","0.8162346603866707","0.8596120780828419","0.8596120780828419","0.8596120780828419","0.8260817584721427","0.8260817584721427","0.8260817584721427"
"16","0.8418226511040473","0.8418226511040473","0.8418226511040473","0.8053164867355423","0.8053164867355423","0.8053164867355423","0.8575788962343939","0.8575788962343939","0.8575788962343939","0.8367558510197554","0.8367558510197554","0.8367558510197554"
"17","0.8437855258632081","0.8437855258632081","0.8437855258632081","0.8334098073426693","0.8334098073426693","0.8334098073426693","0.8625631925296937","0.8625631925296937","0.8625631925296937","0.8456033322479031","0.8456033322479031","0.8456033322479031"
"18","0.8416547846589723","0.8416547846589723","0.8416547846589723","0.8354720363969682","0.8354720363969682","0.8354720363969682","0.8275736787428554","0.8275736787428554","0.8275736787428554","0.8392622680323916","0.8392622680323916","0.8392622680323916"
"19","0.8465951114529678","0.8465951114529678","0.8465951114529678","0.8312959226101336","0.8312959226101336","0.8312959226101336","0.8690783221400258","0.8690783221400258","0.8690783221400258","0.8320370367817566","0.8320370367817566","0.8320370367817566"
"20","0.8533039001135974","0.8533039001135974","0.8533039001135974","0.8372302527250447","0.8372302527250447","0.8372302527250447","0.8720007100460045","0.8720007100460045","0.8720007100460045","0.8495486229368052","0.8495486229368052","0.8495486229368052"
"21","0.8619722227253712","0.8619722227253712","0.8619722227253712","0.8380098274319957","0.8380098274319957","0.8380098274319957","0.8781324576979649","0.8781324576979649","0.8781324576979649","0.8590264298190776","0.8590264298190776","0.8590264298190776"
"22","0.8572299414364134","0.8572299414364134","0.8572299414364134","0.8274914419949276","0.8274914419949276","0.8274914419949276","0.860416700845909","0.860416700845909","0.860416700845909","0.8616113365303385","0.8616113365303385","0.8616113365303385"
"23","0.8556486738936065","0.8556486738936065","0.8556486738936065","0.8203251665730577","0.8203251665730577","0.8203251665730577","0.8594647783075842","0.8594647783075842","0.8594647783075842","0.8527930474408275","0.8527930474408275","0.8527930474408275"
"24","0.8463816682812579","0.8463816682812579","0.8463816682812579","0.8430102911773795","0.8430102911773795","0.8430102911773795","0.872287367036075","0.872287367036075","0.872287367036075","0.8434218671239148","0.8434218671239148","0.8434218671239148"
"25","0.8542892887567595","0.8542892887567595","0.8542892887567595","0.8267690630193325","0.8267690630193325","0.8267690630193325","0.8833559726971864","0.8833559726971864","0.8833559726971864","0.8517987546174374","0.8517987546174374","0.8517987546174374"
"26","0.8555339812628735","0.8555339812628735","0.8555339812628735","0.8315945758427388","0.8315945758427388","0.8315945758427388","0.8765696260455106","0.8765696260455106","0.8765696260455106","0.8431895112196649","0.8431895112196649","0.8431895112196649"
"27","0.8527730966516032","0.8527730966516032","0.8527730966516032","0.8409199780159002","0.8409199780159002","0.8409199780159002","0.8733967624052329","0.8733967624052329","0.8733967624052329","0.8493920289461631","0.8493920289461631","0.8493920289461631"
"28","0.8536391956633507","0.8536391956633507","0.8536391956633507","0.8257094970465833","0.8257094970465833","0.8257094970465833","0.8711430062814283","0.8711430062814283","0.8711430062814283","0.8453332282364023","0.8453332282364023","0.8453332282364023"
"29","0.8487526713396121","0.8487526713396121","0.8487526713396121","0.8407387681344404","0.8407387681344404","0.8407387681344404","0.8753858441226773","0.8753858441226773","0.8753858441226773","0.8374036415452218","0.8374036415452218","0.8374036415452218"
"30","0.8529548821333087","0.8529548821333087","0.8529548821333087","0.8462128062622775","0.8462128062622775","0.8462128062622775","0.8746306806915313","0.8746306806915313","0.8746306806915313","0.8574949750456248","0.8574949750456248","0.8574949750456248"
"31","0.8653403738286243","0.8653403738286243","0.8653403738286243","0.8558651187526444","0.8558651187526444","0.8558651187526444","0.8741414588407118","0.8741414588407118","0.8741414588407118","0.8649930359843564","0.8649930359843564","0.8649930359843564"
"32","0.8585048735019768","0.8585048735019768","0.8585048735019768","0.8527533609111623","0.8527533609111623","0.8527533609111623","0.8795725950711519","0.8795725950711519","0.8795725950711519","0.8538999264464048","0.8538999264464048","0.8538999264464048"
"33","0.8581821627155096","0.8581821627155096","0.8581821627155096","0.8572968181897141","0.8572968181897141","0.8572968181897141","0.872429061698007","0.872429061698007","0.872429061698007","0.8570712921000956","0.8570712921000956","0.8570712921000956"
"34","0.8537887504107305","0.8537887504107305","0.8537887504107305","0.8613950776350275","0.8613950776350275","0.8613950776350275","0.8760022440604455","0.8760022440604455","0.8760022440604455","0.8581713621154567","0.8581713621154567","0.8581713621154567"
"35","0.8490525279284243","0.8490525279284243","0.8490525279284243","0.8480915544120036","0.8480915544120036","0.8480915544120036","0.8884694714262574","0.8884694714262574","0.8884694714262574","0.8527098461343722","0.8527098461343722","0.8527098461343722"
