"Step","Nov 27 12:52 Bilstm BALD MC-Dropout INIT20% AL INC500 ACQ5 - valid_auroc(epoch)","Nov 27 12:52 Bilstm BALD MC-Dropout INIT20% AL INC500 ACQ5 - valid_auroc(epoch)__MIN","Nov 27 12:52 Bilstm BALD MC-Dropout INIT20% AL INC500 ACQ5 - valid_auroc(epoch)__MAX","Nov 27 09:50 Bilstm MARGIN Single INIT20% AL ACQ5 - valid_auroc(epoch)","Nov 27 09:50 Bilstm MARGIN Single INIT20% AL ACQ5 - valid_auroc(epoch)__MIN","Nov 27 09:50 Bilstm MARGIN Single INIT20% AL ACQ5 - valid_auroc(epoch)__MAX","Nov 26 22:10 Bilstm RANDOM Single INIT20% AL ACQ5 - valid_auroc(epoch)","Nov 26 22:10 Bilstm RANDOM Single INIT20% AL ACQ5 - valid_auroc(epoch)__MIN","Nov 26 22:10 Bilstm RANDOM Single INIT20% AL ACQ5 - valid_auroc(epoch)__MAX","Nov 26 21:13 Bilstm LC Single INIT20% AL - valid_auroc(epoch)","Nov 26 21:13 Bilstm LC Single INIT20% AL - valid_auroc(epoch)__MIN","Nov 26 21:13 Bilstm LC Single INIT20% AL - valid_auroc(epoch)__MAX"
"0","0.5541382741212468","0.5541382741212468","0.5541382741212468","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728"
"1","0.6061434646158511","0.6061434646158511","0.6061434646158511","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214"
"2","0.7331714158011473","0.7331714158011473","0.7331714158011473","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268"
"3","0.7903947100495383","0.7903947100495383","0.7903947100495383","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314"
"4","0.8227734104929265","0.8227734104929265","0.8227734104929265","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196"
"5","0.8411915563807851","0.8411915563807851","0.8411915563807851","0.7944443245916526","0.7944443245916526","0.7944443245916526","0.8324312801213325","0.8324312801213325","0.8324312801213325","0.8409550216722566","0.8409550216722566","0.8409550216722566"
"6","0.8524257070160095","0.8524257070160095","0.8524257070160095","0.8107388391710529","0.8107388391710529","0.8107388391710529","0.8623197826069591","0.8623197826069591","0.8623197826069591","0.8571227421381606","0.8571227421381606","0.8571227421381606"
"7","0.8557314188264192","0.8557314188264192","0.8557314188264192","0.8521540335585347","0.8521540335585347","0.8521540335585347","0.863914013264497","0.863914013264497","0.863914013264497","0.8670725064624912","0.8670725064624912","0.8670725064624912"
"8","0.8531442040822594","0.8531442040822594","0.8531442040822594","0.8509199806909202","0.8509199806909202","0.8509199806909202","0.8715318050550608","0.8715318050550608","0.8715318050550608","0.8653746785144247","0.8653746785144247","0.8653746785144247"
"9","0.8517784125723494","0.8517784125723494","0.8517784125723494","0.8464505839926647","0.8464505839926647","0.8464505839926647","0.8664382688939102","0.8664382688939102","0.8664382688939102","0.8672616182860441","0.8672616182860441","0.8672616182860441"
"10","0.8595239691639013","0.8595239691639013","0.8595239691639013","0.8362750939703466","0.8362750939703466","0.8362750939703466","0.877883213367613","0.877883213367613","0.877883213367613","0.8670804020239","0.8670804020239","0.8670804020239"
"11","0.8577793875317447","0.8577793875317447","0.8577793875317447","0.842799237301903","0.842799237301903","0.842799237301903","0.8719043223886634","0.8719043223886634","0.8719043223886634","0.8732719987459032","0.8732719987459032","0.8732719987459032"
"12","0.8590946975812258","0.8590946975812258","0.8590946975812258","0.8428089230854182","0.8428089230854182","0.8428089230854182","0.8727769720447199","0.8727769720447199","0.8727769720447199","0.8632398933682683","0.8632398933682683","0.8632398933682683"
"13","0.853321379889528","0.853321379889528","0.853321379889528","0.845554343172123","0.845554343172123","0.845554343172123","0.8644285879770433","0.8644285879770433","0.8644285879770433","0.8622003256107488","0.8622003256107488","0.8622003256107488"
"14","0.8526260780075724","0.8526260780075724","0.8526260780075724","0.8549104726476471","0.8549104726476471","0.8549104726476471","0.8741150232019629","0.8741150232019629","0.8741150232019629","0.8656516556588706","0.8656516556588706","0.8656516556588706"
"15","0.8526578554885379","0.8526578554885379","0.8526578554885379","0.8475820093879668","0.8475820093879668","0.8475820093879668","0.8742864636397761","0.8742864636397761","0.8742864636397761","0.8711572597520726","0.8711572597520726","0.8711572597520726"
"16","0.8584049944497559","0.8584049944497559","0.8584049944497559","0.8440137297630373","0.8440137297630373","0.8440137297630373","0.8778012265176365","0.8778012265176365","0.8778012265176365","0.883691275547909","0.883691275547909","0.883691275547909"
"17","0.8509429439070759","0.8509429439070759","0.8509429439070759","0.8338696862787014","0.8338696862787014","0.8338696862787014","0.8717497830643404","0.8717497830643404","0.8717497830643404","0.8685504891742618","0.8685504891742618","0.8685504891742618"
"18","0.8620464447390129","0.8620464447390129","0.8620464447390129","0.8468383229728804","0.8468383229728804","0.8468383229728804","0.8726375661939471","0.8726375661939471","0.8726375661939471","0.8554227007688179","0.8554227007688179","0.8554227007688179"
"19","0.8604687238409204","0.8604687238409204","0.8604687238409204","0.8465845363057302","0.8465845363057302","0.8465845363057302","0.8711522125857752","0.8711522125857752","0.8711522125857752","0.8665501951396203","0.8665501951396203","0.8665501951396203"
"20","0.8630176483123545","0.8630176483123545","0.8630176483123545","0.8394724827456228","0.8394724827456228","0.8394724827456228","0.8833565998742584","0.8833565998742584","0.8833565998742584","0.8867742836980487","0.8867742836980487","0.8867742836980487"
"21","0.8597655352948724","0.8597655352948724","0.8597655352948724","0.8599645916764868","0.8599645916764868","0.8599645916764868","0.8776088756676526","0.8776088756676526","0.8776088756676526","0.8827527678189147","0.8827527678189147","0.8827527678189147"
"22","0.8625530723476661","0.8625530723476661","0.8625530723476661","0.8626204779710073","0.8626204779710073","0.8626204779710073","0.87256840167475","0.87256840167475","0.87256840167475","0.8738139010333117","0.8738139010333117","0.8738139010333117"
"23","0.8587703504262677","0.8587703504262677","0.8587703504262677","0.8587673590391186","0.8587673590391186","0.8587673590391186","0.8771398624419224","0.8771398624419224","0.8771398624419224","0.8810730248875512","0.8810730248875512","0.8810730248875512"
"24","0.8617022587748114","0.8617022587748114","0.8617022587748114","0.8519668154916711","0.8519668154916711","0.8519668154916711","0.8731988152232866","0.8731988152232866","0.8731988152232866","0.8844894186292874","0.8844894186292874","0.8844894186292874"
"25","0.8597169654114998","0.8597169654114998","0.8597169654114998","0.8552545243761078","0.8552545243761078","0.8552545243761078","0.8711234379685058","0.8711234379685058","0.8711234379685058","0.8889891137269391","0.8889891137269391","0.8889891137269391"
"26","0.86313144387099","0.86313144387099","0.86313144387099","0.856361414842266","0.856361414842266","0.856361414842266","0.875807529978944","0.875807529978944","0.875807529978944","0.891612348156154","0.891612348156154","0.891612348156154"
"27","0.8626391943351317","0.8626391943351317","0.8626391943351317","0.8520589971242444","0.8520589971242444","0.8520589971242444","0.8760436398788894","0.8760436398788894","0.8760436398788894","0.8891709971146137","0.8891709971146137","0.8891709971146137"
"28","0.8597576402190121","0.8597576402190121","0.8597576402190121","0.8563089115714199","0.8563089115714199","0.8563089115714199","0.8808720169023109","0.8808720169023109","0.8808720169023109","0.8876282537134275","0.8876282537134275","0.8876282537134275"
"29","0.8621125439599348","0.8621125439599348","0.8621125439599348","0.8568483920644194","0.8568483920644194","0.8568483920644194","0.8799992493571741","0.8799992493571741","0.8799992493571741","0.8882405425180436","0.8882405425180436","0.8882405425180436"
"30","0.8642288996767497","0.8642288996767497","0.8642288996767497","0.8464958252720688","0.8464958252720688","0.8464958252720688","0.8767545050587014","0.8767545050587014","0.8767545050587014","0.897658186516494","0.897658186516494","0.897658186516494"
"31","0.8701841383279776","0.8701841383279776","0.8701841383279776","0.8472175978108929","0.8472175978108929","0.8472175978108929","0.8774798753134013","0.8774798753134013","0.8774798753134013","0.8989374523145863","0.8989374523145863","0.8989374523145863"
"32","0.863142902001295","0.863142902001295","0.863142902001295","0.857133199137706","0.857133199137706","0.857133199137706","0.8799194184090324","0.8799194184090324","0.8799194184090324","0.8978921481611565","0.8978921481611565","0.8978921481611565"
"33","0.8655491452109043","0.8655491452109043","0.8655491452109043","0.8642953880269603","0.8642953880269603","0.8642953880269603","0.8803589958846567","0.8803589958846567","0.8803589958846567","0.9018505834594932","0.9018505834594932","0.9018505834594932"
"34","0.8641148223320188","0.8641148223320188","0.8641148223320188","0.8589136034837402","0.8589136034837402","0.8589136034837402","0.8805444302068395","0.8805444302068395","0.8805444302068395","0.9003378303588092","0.9003378303588092","0.9003378303588092"
"35","0.8659359280183967","0.8659359280183967","0.8659359280183967","0.8505598391190728","0.8505598391190728","0.8505598391190728","0.8774695584359603","0.8774695584359603","0.8774695584359603","0.90096478636631","0.90096478636631","0.90096478636631"
"36","0.8673639496067214","0.8673639496067214","0.8673639496067214","0.8659625695573997","0.8659625695573997","0.8659625695573997","0.8839999820502084","0.8839999820502084","0.8839999820502084","0.9027947157916966","0.9027947157916966","0.9027947157916966"
"37","0.8687655518583347","0.8687655518583347","0.8687655518583347","0.8535694283308678","0.8535694283308678","0.8535694283308678","0.8812015499963025","0.8812015499963025","0.8812015499963025","0.9008567362667631","0.9008567362667631","0.9008567362667631"
"38","0.866794180670465","0.866794180670465","0.866794180670465","0.8603050717708882","0.8603050717708882","0.8603050717708882","0.8831340041318376","0.8831340041318376","0.8831340041318376","0.9021365069504198","0.9021365069504198","0.9021365069504198"
"39","0.8673771970130391","0.8673771970130391","0.8673771970130391","0.8619406816207579","0.8619406816207579","0.8619406816207579","0.8866553685785498","0.8866553685785498","0.8866553685785498","0.8965929447161601","0.8965929447161601","0.8965929447161601"
"40","0.8682517960573986","0.8682517960573986","0.8682517960573986","0.8569972906749738","0.8569972906749738","0.8569972906749738","0.883925972347897","0.883925972347897","0.883925972347897","0.9046300233528243","0.9046300233528243","0.9046300233528243"
"41","0.8768876106520285","0.8768876106520285","0.8768876106520285","0.8656967726529158","0.8656967726529158","0.8656967726529158","0.89080664341027","0.89080664341027","0.89080664341027","0.9029320510460229","0.9029320510460229","0.9029320510460229"
"42","0.8737876556052845","0.8737876556052845","0.8737876556052845","0.8683397737372395","0.8683397737372395","0.8683397737372395","0.8815785605966746","0.8815785605966746","0.8815785605966746","0.8997264741729722","0.8997264741729722","0.8997264741729722"
"43","0.8731299410523592","0.8731299410523592","0.8731299410523592","0.8699641030000507","0.8699641030000507","0.8699641030000507","0.8798678770334228","0.8798678770334228","0.8798678770334228","0.8983579918109097","0.8983579918109097","0.8983579918109097"
"44","0.872565410520408","0.872565410520408","0.872565410520408","0.8607831960760851","0.8607831960760851","0.8607831960760851","0.8823345796275698","0.8823345796275698","0.8823345796275698","0.8943801746718264","0.8943801746718264","0.8943801746718264"
"45","0.8718802133322456","0.8718802133322456","0.8718802133322456","0.8589465327817513","0.8589465327817513","0.8589465327817513","0.8891640641894449","0.8891640641894449","0.8891640641894449","0.896954945040097","0.896954945040097","0.896954945040097"
"46","0.8724550815808252","0.8724550815808252","0.8724550815808252","0.8725011139653964","0.8725011139653964","0.8725011139653964","0.890887718466856","0.890887718466856","0.890887718466856","0.9000895655416398","0.9000895655416398","0.9000895655416398"
