"Step","Nov 29 16:52 Cnnlstm MARGIN Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)","Nov 29 16:52 Cnnlstm MARGIN Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MIN","Nov 29 16:52 Cnnlstm MARGIN Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MAX","Nov 29 16:36 Cnnlstm LC Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)","Nov 29 16:36 Cnnlstm LC Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MIN","Nov 29 16:36 Cnnlstm LC Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MAX","Nov 29 16:20 Cnnlstm RANDOM Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)","Nov 29 16:20 Cnnlstm RANDOM Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MIN","Nov 29 16:20 Cnnlstm RANDOM Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MAX"
"0","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537","0.5400040320102537"
"1","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544","0.6099034813566544"
"2","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766","0.6490337725812766"
"3","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971","0.6693509017148971"
"4","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457","0.679352560616457"
"5","0.7415371158234918","0.7415371158234918","0.7415371158234918","0.7415371158234918","0.7415371158234918","0.7415371158234918","0.7415371158234918","0.7415371158234918","0.7415371158234918"
"6","0.7633232158774738","0.7633232158774738","0.7633232158774738","0.7633232158774738","0.7633232158774738","0.7633232158774738","0.7633232158774738","0.7633232158774738","0.7633232158774738"
"7","0.7753083435449223","0.7753083435449223","0.7753083435449223","0.7753083435449223","0.7753083435449223","0.7753083435449223","0.7753083435449223","0.7753083435449223","0.7753083435449223"
"8","0.7868165904521461","0.7868165904521461","0.7868165904521461","0.7868165904521461","0.7868165904521461","0.7868165904521461","0.7868165904521461","0.7868165904521461","0.7868165904521461"
"9","0.7791535991055726","0.7791535991055726","0.7791535991055726","0.7791535991055726","0.7791535991055726","0.7791535991055726","0.7791535991055726","0.7791535991055726","0.7791535991055726"
"10","0.787070240359169","0.787070240359169","0.787070240359169","0.787070240359169","0.787070240359169","0.787070240359169","0.787070240359169","0.787070240359169","0.787070240359169"
"11","0.8242750492209114","0.8242750492209114","0.8242750492209114","0.8242750492209114","0.8242750492209114","0.8242750492209114","0.8242750492209114","0.8242750492209114","0.8242750492209114"
"12","0.8184778938723564","0.8184778938723564","0.8184778938723564","0.8184778938723564","0.8184778938723564","0.8184778938723564","0.8184778938723564","0.8184778938723564","0.8184778938723564"
"13","0.8253529754206879","0.8253529754206879","0.8253529754206879","0.8253529754206879","0.8253529754206879","0.8253529754206879","0.8253529754206879","0.8253529754206879","0.8253529754206879"
"14","0.8279117127786327","0.8279117127786327","0.8279117127786327","0.8279117127786327","0.8279117127786327","0.8279117127786327","0.8279117127786327","0.8279117127786327","0.8279117127786327"
"15","0.8389871046380901","0.8389871046380901","0.8389871046380901","0.8389871046380901","0.8389871046380901","0.8389871046380901","0.8389871046380901","0.8389871046380901","0.8389871046380901"
"16","0.8312145933106967","0.8312145933106967","0.8312145933106967","0.8312145933106967","0.8312145933106967","0.8312145933106967","0.8312145933106967","0.8312145933106967","0.8312145933106967"
"17","0.8233041680332711","0.8233041680332711","0.8233041680332711","0.8233041680332711","0.8233041680332711","0.8233041680332711","0.8233041680332711","0.8233041680332711","0.8233041680332711"
"18","0.8317791440089741","0.8317791440089741","0.8317791440089741","0.8317791440089741","0.8317791440089741","0.8317791440089741","0.8317791440089741","0.8317791440089741","0.8317791440089741"
"19","0.822062099965641","0.822062099965641","0.822062099965641","0.822062099965641","0.822062099965641","0.822062099965641","0.822062099965641","0.822062099965641","0.822062099965641"
"20","0.5468822243586641","0.5468822243586641","0.5468822243586641","0.5406557665950972","0.5406557665950972","0.5406557665950972","0.5798686199277859","0.5798686199277859","0.5798686199277859"
"21","0.6053445978390021","0.6053445978390021","0.6053445978390021","0.5064421731894303","0.5064421731894303","0.5064421731894303","0.6423727610135684","0.6423727610135684","0.6423727610135684"
"22","0.6485567090253483","0.6485567090253483","0.6485567090253483","0.5238813415104894","0.5238813415104894","0.5238813415104894","0.6700056314046118","0.6700056314046118","0.6700056314046118"
"23","0.6732003980657808","0.6732003980657808","0.6732003980657808","0.5606157075884255","0.5606157075884255","0.5606157075884255","0.7054365994153947","0.7054365994153947","0.7054365994153947"
"24","0.7090099711654495","0.7090099711654495","0.7090099711654495","0.5876056917808247","0.5876056917808247","0.5876056917808247","0.7646211501423711","0.7646211501423711","0.7646211501423711"
"25","0.7342032820150958","0.7342032820150958","0.7342032820150958","0.612564734022233","0.612564734022233","0.612564734022233","0.7959973086190564","0.7959973086190564","0.7959973086190564"
"26","0.7414920592819038","0.7414920592819038","0.7414920592819038","0.6248489677004866","0.6248489677004866","0.6248489677004866","0.8066130959910528","0.8066130959910528","0.8066130959910528"
"27","0.7673131828977787","0.7673131828977787","0.7673131828977787","0.6402566701488003","0.6402566701488003","0.6402566701488003","0.8157497132393775","0.8157497132393775","0.8157497132393775"
"28","0.7687048750579729","0.7687048750579729","0.7687048750579729","0.670017694999668","0.670017694999668","0.670017694999668","0.8187132667614753","0.8187132667614753","0.8187132667614753"
"29","0.802241551384005","0.802241551384005","0.802241551384005","0.6840900583484246","0.6840900583484246","0.6840900583484246","0.8257286364777664","0.8257286364777664","0.8257286364777664"
"30","0.8038384566785078","0.8038384566785078","0.8038384566785078","0.7282095863695305","0.7282095863695305","0.7282095863695305","0.8201464782608783","0.8201464782608783","0.8201464782608783"
"31","0.8102319485217283","0.8102319485217283","0.8102319485217283","0.7376479566385664","0.7376479566385664","0.7376479566385664","0.8136480538626055","0.8136480538626055","0.8136480538626055"
"32","0.8169168503922716","0.8169168503922716","0.8169168503922716","0.7410634214889084","0.7410634214889084","0.7410634214889084","0.8320744779265444","0.8320744779265444","0.8320744779265444"
"33","0.811923860365408","0.811923860365408","0.811923860365408","0.7505531896840401","0.7505531896840401","0.7505531896840401","0.837262410381078","0.837262410381078","0.837262410381078"
"34","0.8335099040962461","0.8335099040962461","0.8335099040962461","0.7567176631926139","0.7567176631926139","0.7567176631926139","0.8433028855771147","0.8433028855771147","0.8433028855771147"
"35","0.8234287081677291","0.8234287081677291","0.8234287081677291","0.7725941053240697","0.7725941053240697","0.7725941053240697","0.8378456864313221","0.8378456864313221","0.8378456864313221"
"36","0.8039503453810424","0.8039503453810424","0.8039503453810424","0.7711340849385043","0.7711340849385043","0.7711340849385043","0.8323445381080156","0.8323445381080156","0.8323445381080156"
"37","0.809272399667898","0.809272399667898","0.809272399667898","0.7897958036664864","0.7897958036664864","0.7897958036664864","0.8296118769576637","0.8296118769576637","0.8296118769576637"
"38","0.8298374349335509","0.8298374349335509","0.8298374349335509","0.7733675629573119","0.7733675629573119","0.7733675629573119","0.8534236977750904","0.8534236977750904","0.8534236977750904"
"39","0.8326689326806349","0.8326689326806349","0.8326689326806349","0.79104214350393","0.79104214350393","0.79104214350393","0.840364446298986","0.840364446298986","0.840364446298986"
"40","0.5828996119881866","0.5828996119881866","0.5828996119881866","0.47571678108542975","0.47571678108542975","0.47571678108542975","0.5982160051048991","0.5982160051048991","0.5982160051048991"
"41","0.6564929940074835","0.6564929940074835","0.6564929940074835","0.5648431953541181","0.5648431953541181","0.5648431953541181","0.6651152699772723","0.6651152699772723","0.6651152699772723"
"42","0.696707865557178","0.696707865557178","0.696707865557178","0.6076858945460999","0.6076858945460999","0.6076858945460999","0.7229609379202501","0.7229609379202501","0.7229609379202501"
"43","0.7304752051454453","0.7304752051454453","0.7304752051454453","0.6286426794167538","0.6286426794167538","0.6286426794167538","0.7713940877367134","0.7713940877367134","0.7713940877367134"
"44","0.7697112771647102","0.7697112771647102","0.7697112771647102","0.665536679361693","0.665536679361693","0.665536679361693","0.8119375789161452","0.8119375789161452","0.8119375789161452"
"45","0.7883657198006585","0.7883657198006585","0.7883657198006585","0.6749782334360596","0.6749782334360596","0.6749782334360596","0.8319922005027277","0.8319922005027277","0.8319922005027277"
"46","0.8001709476608454","0.8001709476608454","0.8001709476608454","0.7385075904548143","0.7385075904548143","0.7385075904548143","0.8331124893771681","0.8331124893771681","0.8331124893771681"
"47","0.8215433792367127","0.8215433792367127","0.8215433792367127","0.7773426566899796","0.7773426566899796","0.7773426566899796","0.8549739430008482","0.8549739430008482","0.8549739430008482"
"48","0.817012106934928","0.817012106934928","0.817012106934928","0.8096382179777675","0.8096382179777675","0.8096382179777675","0.8538764005805336","0.8538764005805336","0.8538764005805336"
"49","0.8129536117907229","0.8129536117907229","0.8129536117907229","0.8257835922283229","0.8257835922283229","0.8257835922283229","0.8653472259245962","0.8653472259245962","0.8653472259245962"
"50","0.8208079917309723","0.8208079917309723","0.8208079917309723","0.8397807628816566","0.8397807628816566","0.8397807628816566","0.8643946190632056","0.8643946190632056","0.8643946190632056"
"51","0.838979063051848","0.838979063051848","0.838979063051848","0.829772434465891","0.829772434465891","0.829772434465891","0.8449225208888668","0.8449225208888668","0.8449225208888668"
"52","0.8426559088356204","0.8426559088356204","0.8426559088356204","0.840196464304282","0.840196464304282","0.840196464304282","0.8581805279392158","0.8581805279392158","0.8581805279392158"
"53","0.8374155609732061","0.8374155609732061","0.8374155609732061","0.8473704865920032","0.8473704865920032","0.8473704865920032","0.8577891697229513","0.8577891697229513","0.8577891697229513"
"54","0.8352808185915022","0.8352808185915022","0.8352808185915022","0.8501537761023629","0.8501537761023629","0.8501537761023629","0.8642161465960819","0.8642161465960819","0.8642161465960819"
"55","0.8245343876184927","0.8245343876184927","0.8245343876184927","0.8574977042888565","0.8574977042888565","0.8574977042888565","0.863358871616111","0.863358871616111","0.863358871616111"
"56","0.8226502133386117","0.8226502133386117","0.8226502133386117","0.8527862588119199","0.8527862588119199","0.8527862588119199","0.8657330186188431","0.8657330186188431","0.8657330186188431"
"57","0.83601541668658","0.83601541668658","0.83601541668658","0.8470449772755893","0.8470449772755893","0.8470449772755893","0.8602970840532249","0.8602970840532249","0.8602970840532249"
"58","0.8366994073188451","0.8366994073188451","0.8366994073188451","0.852788126142353","0.852788126142353","0.852788126142353","0.8409706661944463","0.8409706661944463","0.8409706661944463"
"59","0.8317468938170034","0.8317468938170034","0.8317468938170034","0.8578745927757964","0.8578745927757964","0.8578745927757964","0.8627882171394523","0.8627882171394523","0.8627882171394523"
"60","0.5997498504818644","0.5997498504818644","0.5997498504818644","0.5541597427633178","0.5541597427633178","0.5541597427633178","0.5796566289003604","0.5796566289003604","0.5796566289003604"
"61","0.6375422233549798","0.6375422233549798","0.6375422233549798","0.5947973707393267","0.5947973707393267","0.5947973707393267","0.6598851649523562","0.6598851649523562","0.6598851649523562"
"62","0.6942715622038101","0.6942715622038101","0.6942715622038101","0.6115787815389297","0.6115787815389297","0.6115787815389297","0.7039301945426185","0.7039301945426185","0.7039301945426185"
"63","0.7708312071248136","0.7708312071248136","0.7708312071248136","0.6316851726723501","0.6316851726723501","0.6316851726723501","0.7725550598545706","0.7725550598545706","0.7725550598545706"
"64","0.802501370335726","0.802501370335726","0.802501370335726","0.6448076535995696","0.6448076535995696","0.6448076535995696","0.8095219458259293","0.8095219458259293","0.8095219458259293"
"65","0.7906848815496486","0.7906848815496486","0.7906848815496486","0.670220117462057","0.670220117462057","0.670220117462057","0.8332268940631932","0.8332268940631932","0.8332268940631932"
"66","0.8287205048337651","0.8287205048337651","0.8287205048337651","0.6968767168081098","0.6968767168081098","0.6968767168081098","0.840526056878851","0.840526056878851","0.840526056878851"
"67","0.8460447167848519","0.8460447167848519","0.8460447167848519","0.7458011567358049","0.7458011567358049","0.7458011567358049","0.8495028177753084","0.8495028177753084","0.8495028177753084"
"68","0.85309473130547","0.85309473130547","0.85309473130547","0.8152318552529493","0.8152318552529493","0.8152318552529493","0.8500148110665555","0.8500148110665555","0.8500148110665555"
"69","0.8523552871268784","0.8523552871268784","0.8523552871268784","0.8271094285315175","0.8271094285315175","0.8271094285315175","0.8524611226382012","0.8524611226382012","0.8524611226382012"
"70","0.8413135880323589","0.8413135880323589","0.8413135880323589","0.8340131225740759","0.8340131225740759","0.8340131225740759","0.8630825466329094","0.8630825466329094","0.8630825466329094"
"71","0.8320231380750536","0.8320231380750536","0.8320231380750536","0.8496128689364681","0.8496128689364681","0.8496128689364681","0.8623477440526007","0.8623477440526007","0.8623477440526007"
"72","0.8385607278777844","0.8385607278777844","0.8385607278777844","0.8483678509497897","0.8483678509497897","0.8483678509497897","0.8559819166499899","0.8559819166499899","0.8559819166499899"
"73","0.8534209022397715","0.8534209022397715","0.8534209022397715","0.8440648995300201","0.8440648995300201","0.8440648995300201","0.8518294382701855","0.8518294382701855","0.8518294382701855"
"74","0.8603604984428852","0.8603604984428852","0.8603604984428852","0.8604064790618623","0.8604064790618623","0.8604064790618623","0.8571359622142293","0.8571359622142293","0.8571359622142293"
"75","0.8549642164301945","0.8549642164301945","0.8549642164301945","0.8467110423648233","0.8467110423648233","0.8467110423648233","0.8572498938625074","0.8572498938625074","0.8572498938625074"
"76","0.8429024627752715","0.8429024627752715","0.8429024627752715","0.8631657115933214","0.8631657115933214","0.8631657115933214","0.8593252228626141","0.8593252228626141","0.8593252228626141"
"77","0.856046984647719","0.856046984647719","0.856046984647719","0.8614093608134451","0.8614093608134451","0.8614093608134451","0.8563745156928825","0.8563745156928825","0.8563745156928825"
"78","0.8589473646075773","0.8589473646075773","0.8589473646075773","0.8655405902077892","0.8655405902077892","0.8655405902077892","0.851237922886216","0.851237922886216","0.851237922886216"
"79","0.8572277444540243","0.8572277444540243","0.8572277444540243","0.8556713847733071","0.8556713847733071","0.8556713847733071","0.8509148121753741","0.8509148121753741","0.8509148121753741"
"80","0.5946969152157778","0.5946969152157778","0.5946969152157778","0.5761625687723547","0.5761625687723547","0.5761625687723547","0.5991067704029714","0.5991067704029714","0.5991067704029714"
"81","0.663234587591543","0.663234587591543","0.663234587591543","0.6292037554449442","0.6292037554449442","0.6292037554449442","0.6673250648025831","0.6673250648025831","0.6673250648025831"
"82","0.7019091995187393","0.7019091995187393","0.7019091995187393","0.6526020027223147","0.6526020027223147","0.6526020027223147","0.7196190160648527","0.7196190160648527","0.7196190160648527"
"83","0.7504078254387067","0.7504078254387067","0.7504078254387067","0.6775534728442025","0.6775534728442025","0.6775534728442025","0.7861909461714607","0.7861909461714607","0.7861909461714607"
"84","0.7942534736314268","0.7942534736314268","0.7942534736314268","0.7470590022527089","0.7470590022527089","0.7470590022527089","0.8308108519418842","0.8308108519418842","0.8308108519418842"
"85","0.8307192496117691","0.8307192496117691","0.8307192496117691","0.8022929040066508","0.8022929040066508","0.8022929040066508","0.8408029485906519","0.8408029485906519","0.8408029485906519"
"86","0.843377335926846","0.843377335926846","0.843377335926846","0.8389839552154236","0.8389839552154236","0.8389839552154236","0.8572799821095223","0.8572799821095223","0.8572799821095223"
"87","0.8521063075953625","0.8521063075953625","0.8521063075953625","0.855410880532809","0.855410880532809","0.855410880532809","0.8723079884428097","0.8723079884428097","0.8723079884428097"
"88","0.8428082376262488","0.8428082376262488","0.8428082376262488","0.8600156708581252","0.8600156708581252","0.8600156708581252","0.8672242387223245","0.8672242387223245","0.8672242387223245"
"89","0.8374673732235595","0.8374673732235595","0.8374673732235595","0.8569353946490242","0.8569353946490242","0.8569353946490242","0.8516323160047888","0.8516323160047888","0.8516323160047888"
"90","0.8549737518300115","0.8549737518300115","0.8549737518300115","0.8600723739326955","0.8600723739326955","0.8600723739326955","0.8395472735578896","0.8395472735578896","0.8395472735578896"
"91","0.839301967850108","0.839301967850108","0.839301967850108","0.8600823063180716","0.8600823063180716","0.8600823063180716","0.8641705649952263","0.8641705649952263","0.8641705649952263"
"92","0.841368063222483","0.841368063222483","0.841368063222483","0.8495869292437975","0.8495869292437975","0.8495869292437975","0.8618438741916044","0.8618438741916044","0.8618438741916044"
"93","0.8492724127463881","0.8492724127463881","0.8492724127463881","0.8577619197813516","0.8577619197813516","0.8577619197813516","0.8578378574787061","0.8578378574787061","0.8578378574787061"
"94","0.8525000589616317","0.8525000589616317","0.8525000589616317","0.8439768386184624","0.8439768386184624","0.8439768386184624","0.8535323770204525","0.8535323770204525","0.8535323770204525"
"95","0.8466035106489511","0.8466035106489511","0.8466035106489511","0.8567535766727042","0.8567535766727042","0.8567535766727042","0.857488594585198","0.857488594585198","0.857488594585198"
"96","0.8395886010932213","0.8395886010932213","0.8395886010932213","0.8673459945064027","0.8673459945064027","0.8673459945064027","0.8595591293681126","0.8595591293681126","0.8595591293681126"
"97","0.845052664647889","0.845052664647889","0.845052664647889","0.8614284999188345","0.8614284999188345","0.8614284999188345","0.8516313995310517","0.8516313995310517","0.8516313995310517"
"98","0.8524807654156165","0.8524807654156165","0.8524807654156165","0.8742747924604556","0.8742747924604556","0.8742747924604556","0.8596838750652812","0.8596838750652812","0.8596838750652812"
"99","0.8513267452500292","0.8513267452500292","0.8513267452500292","0.8734112573800238","0.8734112573800238","0.8734112573800238","0.860835682029934","0.860835682029934","0.860835682029934"
