"Step","Nov 29 15:51 Bilstm MARGIN Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)","Nov 29 15:51 Bilstm MARGIN Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MIN","Nov 29 15:51 Bilstm MARGIN Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MAX","Nov 29 15:24 Bilstm RANDOM Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)","Nov 29 15:24 Bilstm RANDOM Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MIN","Nov 29 15:24 Bilstm RANDOM Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MAX","Nov 29 14:55 Bilstm LC Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)","Nov 29 14:55 Bilstm LC Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MIN","Nov 29 14:55 Bilstm LC Single INIT20% SAMPLING 1 ACQ_PERIOD 20 AL Retrain - valid_auroc(epoch)__MAX"
"0","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728","0.5575669709023728"
"1","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214","0.6080948018895214"
"2","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268","0.7386831948333268"
"3","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314","0.7937368859284314"
"4","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196","0.8115213103207196"
"5","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.8329651840583834","0.8329651840583834"
"6","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8469609831786946","0.8469609831786946"
"7","0.850247924159976","0.850247924159976","0.850247924159976","0.850247924159976","0.850247924159976","0.850247924159976","0.850247924159976","0.850247924159976","0.850247924159976"
"8","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8533720320062904","0.8533720320062904"
"9","0.842325430757583","0.842325430757583","0.842325430757583","0.842325430757583","0.842325430757583","0.842325430757583","0.842325430757583","0.842325430757583","0.842325430757583"
